name,description
Cooking,Provide home-cooked meals for those in need
Medical Checkup,Assist with transportation or registration for clinic visits
Grocery Delivery,Pick up and deliver groceries to seniors or families
Elderly Companion,Spend time with the elderly for social interaction
Child Care,Assist single parents with short-term child supervision
Pet Care,Help feed or walk pets for those unable to do so
Tutoring,Provide academic tutoring for students in need
Mental Health Support,Offer peer listening or awareness sessions
Language Translation,Help translate documents or conversations
Disability Support,Assist individuals with mobility or accessibility needs
Event Setup,Help set up community or charity events
Event Cleanup,Assist in cleaning up after public or charity events
Recycling Drive,Collect and sort recyclable items in the community
Food Distribution,Assist at food banks or distribution centers
Blood Donation Drive,Help organize and manage donor registration
Health Screening,Support basic health checkup events
Clothing Donation,Collect and organize donated clothes
Shelter Assistance,Provide help at homeless shelters
First Aid Station,Support first aid booths at public events
Transportation Aid,Provide rides for those without transport
Community Outreach,Distribute flyers or talk to residents about initiatives
Admin Support,Assist organizations with basic admin tasks
Fundraising,Help organize or run fundraising activities
Environmental Cleanup,Join park or beach cleanup drives
Tree Planting,Participate in reforestation or greening activities
Technical Support,Assist community members with computer issues
Website Maintenance,Help NGOs maintain their websites
Photography,Take photos during events for documentation
Graphic Design,Create promotional materials for community programs
Social Media,Manage posts for charity or volunteer pages
Call Center Support,Answer helpline or information calls
Home Maintenance,Help repair or paint community centers or homes
Gardening,Maintain community gardens or greenery
Donation Sorting,Sort donated goods for distribution
Public Awareness,Distribute health or safety information
Emergency Response,Assist in basic coordination during local emergencies
Traffic Marshalling,Help guide traffic during events
Sports Coaching,Coach youth or special-needs participants
Fitness Workshops,Conduct basic exercise or wellness sessions
Community Survey,Help collect and record survey data
Public Speaking,Deliver short talks for awareness campaigns
Sign Language Assistance,Interpret for hearing-impaired participants
Library Support,Help catalog or manage community libraries
Book Donation,Collect and distribute books
Art Workshop,Conduct community art or craft sessions
Music Workshop,Teach basic instruments to children
Cultural Performance,Participate in cultural performances
IT Workshop,Teach basic computer literacy
Resume Writing,Assist job seekers in creating resumes
Job Search Support,Help match individuals with job listings
Waste Segregation,Educate on proper recycling and waste sorting
Public Health Education,Raise awareness on hygiene or disease prevention
COVID Assistance,Provide safe delivery or information support
Vaccination Support,Assist at vaccination centers
Mentorship,Guide youths in personal or career growth
Financial Literacy,Teach basic budgeting and savings skills
Community Patrol,Help monitor and report safety concerns
Home Visit,Check in on isolated individuals or seniors
Disaster Relief,Assist in sorting and packing relief items
Soup Kitchen,Prepare and serve food to the needy
Cleaning Services,Help clean public or shared spaces
Care Package Delivery,Distribute essential kits to vulnerable groups
Beach Patrol,Assist with cleanup or safety awareness
Water Distribution,Distribute bottled water during events
Traffic Safety Education,Educate on road safety practices
First Aid Training,Help facilitate first aid awareness sessions
Wheelchair Repair,Assist in fixing or maintaining mobility aids
Hospital Visit,Visit patients to provide encouragement
Rehabilitation Support,Assist physiotherapists or patients in recovery
Animal Shelter,Help feed and clean animal shelter areas
Adoption Drive,Assist with pet adoption events
Arts for Seniors,Organize craft sessions for elderly care homes
Storytelling,Read to children or seniors in libraries or centers
Community Cooking,Prepare large meals for community events
Public Transport Assistance,Guide visitors using buses or MRT
Clothing Repair,Help mend donated clothes
Donation Pickup,Collect donations from households
Waste Recycling Booth,Operate recycling booths during fairs
Counseling Support,Provide basic listening under supervision
Career Guidance,Advise youths on study and work options
Digital Literacy,Teach seniors how to use smartphones or computers
Neighborhood Watch,Support local safety watch programs
Park Maintenance,Help clean and maintain public parks
Food Packing,Pack donated food into care kits
Clothes Folding,Sort and fold donated clothing
Warehouse Sorting,Assist in organizing stored donations
Delivery Driver,Transport goods between partner organizations
Receptionist Support,Assist front-desk staff during events
Volunteer Coordination,Help schedule and guide other volunteers
Record Keeping,Log attendance or data for events
Supply Inventory,Track and restock event materials
Event Registration,Manage attendee sign-ins
Survey Interview,Conduct short feedback sessions
Health Education Talk,Assist with educational outreach
Medication Reminder,Call or visit to remind elderly about medications
Fundraiser Outreach,Contact potential donors for support
Art Therapy,Assist in guided art therapy sessions
Public Hygiene Drive,Distribute sanitizer and masks in communities
